#pathlength 	 LinePath 
0		0
1		860595
2		1445653
3		2361853
4		3729693
5		5697928
6		8454039
7		12166515
8		16865340
9		22249208
10		27461065
11		31033435
12		31336323
13		27645154
14		21038953
15		13847343
16		8024383
17		4199472
18		2037819
19		935714
20		411889
21		175828
22		73901
23		30973
24		12988
25		5501
26		2457
27		1072
28		444
29		161
30		48
31		11
32		4
33		1
34		0
35		0
36		0
37		0
38		0
39		0
40		0
41		0
42		0
43		0
44		0
45		0
46		0
47		0
48		0
49		0
50		0
51		0
52		0
53		0
54		0
55		0
56		0
57		0
58		0
59		0
60		0
61		0
62		0
63		0
64		0
65		0
66		0
67		0
68		0
69		0
70		0
71		0
72		0
73		0
74		0
75		0
76		0
77		0
78		0
79		0
80		0
81		0
82		0
83		0
84		0
85		0
86		0
87		0
88		0
89		0
90		0
91		0
92		0
93		0
94		0
95		0
96		0
97		0
98		0
99		0
